date,time,cpa,width,lin_speed,quad_speed_init,quad_speed_final,quad_speed_20,accel,mpa,remarks
1997/02/08,21:30:06,259.0,18,177.0,128.0,225.0,325.0,3.9,261,
1997/02/08,23:30:05,325.0,2,,,,,,322,Very Poor Event; Only C2; Unable to measure
1997/02/09,13:15:16,255.0,7,185.0,111.0,258.0,394.0,7.0,261,Poor Event; Only C3
1997/02/12,07:30:05,297.0,39,208.0,125.0,288.0,353.0,4.5,292,
1997/02/19,23:32:26,275.0,55,263.0,185.0,346.0,363.0,4.1,275,Newly inserted on 2006/11/06; Poor Event
1997/02/20,02:30:05,303.0,43,132.0,125.0,139.0,190.0,0.9,305,Poor Event; Only C2
1997/02/22,23:30:05,234.0,134,290.0,367.0,208.0,224.0,-3.8,271,Partial Halo
1997/02/23,02:30:05,208.0,209,905.0,933.0,876.0,877.0,-4.3,63,The CME width was changed from 134 to 209 degree on 2012/01/31; Partial Halo
1997/02/24,11:30:05,267.0,66,123.0,107.0,141.0,171.0,0.9,263,Poor Event
1997/02/25,10:30:07,103.0,29,128.0,179.0,75.0,0.0,-5.1,106,
1997/02/26,05:51:55,275.0,25,170.0,126.0,215.0,349.0,5.1,283,Poor Event
1997/02/26,10:30:06,48.0,28,118.0,93.0,144.0,219.0,1.8,50,
1997/03/03,07:35:58,90.0,58,240.0,10.0,494.0,1489.0,101.9,78,Very Poor Event; Only 3 points; Only C2
1997/03/03,12:30:05,76.0,25,208.0,130.0,282.0,373.0,6.3,84,Poor Event; Only C3
1997/03/05,22:30:07,313.0,20,460.0,485.0,437.0,265.0,-7.3,301,Only 3 points
1997/03/06,01:36:10,104.0,27,301.0,422.0,188.0,0.0,-21.4,101,
1997/03/09,04:30:06,54.0,146,517.0,394.0,650.0,595.0,8.4,69,Partial Halo
1997/03/11,11:30:06,10.0,5,125.0,68.0,185.0,299.0,3.6,12,
1997/03/12,12:30:05,260.0,47,290.0,314.0,267.0,259.0,-1.3,273,
1997/03/15,13:35:59,264.0,45,221.0,124.0,313.0,364.0,5.6,272,Poor Event; Only C3
1997/03/15,17:30:05,263.0,59,329.0,281.0,378.0,445.0,5.8,261,Only C3
1997/03/17,02:30:56,254.0,118,443.0,288.0,606.0,549.0,9.3,255,
1997/03/23,15:04:14,268.0,44,31.0,27.0,35.0,69.0,0.2,269,Poor Event; Only C2
1997/03/24,07:37:25,232.0,162,140.0,104.0,177.0,360.0,5.2,254,Poor Event; Partial Halo
1997/03/25,22:45:05,87.0,45,,,,,,88,Very Poor Event; Unable to measure
1997/03/26,00:30:41,94.0,52,173.0,197.0,149.0,0.0,-4.3,84,Poor Event; Only 3 points
1997/03/27,15:05:05,271.0,70,83.0,59.0,107.0,279.0,3.4,293,Very Poor Event; Only C2
1997/03/28,02:55:05,89.0,35,309.0,269.0,350.0,358.0,3.2,90,Very Poor Event; Only C3
1997/03/28,18:17:46,112.0,56,146.0,152.0,140.0,87.0,-0.7,105,
1997/03/31,05:30:05,274.0,56,225.0,241.0,208.0,172.0,-1.3,266,Poor Event
1997/04/01,06:22:00,79.0,68,267.0,307.0,229.0,0.0,-4.8,83,Poor Event
1997/04/01,09:24:33,69.0,74,496.0,259.0,743.0,1756.0,125.4,93,Newly inserted on 2005/12/21; Poor Event
1997/04/01,12:05:23,80.0,58,272.0,290.0,253.0,0.0,-11.2,73,Newly inserted on 2005/12/21; Poor Event; Only 3 points; Only C2
1997/04/01,15:18:38,74.0,79,312.0,331.0,293.0,243.0,-2.2,73,Poor Event
1997/04/02,07:17:02,75.0,82,367.0,318.0,418.0,895.0,31.0,84,Poor Event; Only 3 points; Only C2
1997/04/04,05:09:14,280.0,72,185.0,96.0,283.0,291.0,3.1,285,
1997/04/04,18:57:00,95.0,41,206.0,211.0,202.0,169.0,-0.7,90,
1997/04/05,21:37:22,170.0,5,382.0,,,,,168,Very Poor Event; Only 2 points; Only C2
1997/04/06,01:24:33,301.0,7,675.0,505.0,842.0,1475.0,84.0,295,Only 3 points
1997/04/07,06:26:05,320.0,143,145.0,146.0,143.0,137.0,-0.1,319,Uncertain Width; Partial Halo
1997/04/07,14:27:44,,360,878.0,850.0,905.0,896.0,3.3,123,
1997/04/09,12:06:52,277.0,63,485.0,451.0,519.0,529.0,3.2,263,
1997/04/11,02:06:28,96.0,41,155.0,166.0,144.0,29.0,-1.2,99,Poor Event
1997/04/13,16:12:26,269.0,43,391.0,310.0,467.0,415.0,3.9,257,Only C3
1997/04/13,23:54:09,258.0,43,598.0,366.0,820.0,1448.0,84.3,252,Poor Event
1997/04/14,17:14:00,256.0,33,399.0,459.0,343.0,225.0,-6.8,255,
1997/04/14,19:55:05,275.0,74,658.0,676.0,639.0,462.0,-10.7,250,
1997/04/16,01:34:03,256.0,41,325.0,313.0,338.0,347.0,0.9,264,
1997/04/16,07:35:54,103.0,113,87.0,0.0,231.0,323.0,4.6,89,
1997/04/20,19:45:05,272.0,48,303.0,188.0,410.0,610.0,14.9,274,
1997/04/22,22:57:05,63.0,33,176.0,170.0,181.0,214.0,0.7,75,Poor Event
